price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,promotion_check,id,specials
1.24,1.24,amstel pilsener cerveza rubia nacional botella 1 l ,No promotion,amstel original,botella,1 l,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202009/30/00118602201727____2__40x40.jpg,El Corte Ingles,no,514,others
0.8,1.6,amstel cerveza rubia 100% malta lata 50 cl ,No promotion,amstel original,lata,50 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202009/30/00118600301313____4__40x40.jpg,El Corte Ingles,no,515,others
0.62,1.88,amstel extra cerveza rubia lager lata 33 cl ,No promotion,amstel extra,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201910/04/00118600301263____2__40x40.jpg,El Corte Ingles,no,516,others
1.11,3.36,cruzcampo gran reserva 1904 premium quality cerveza rubia 100% malta botella 33 cl ,2ª-50%2ª unidad al 50% de descuentoPuedes combinar productos ¡pulsa aquí!,cruzcampo reserva,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201910/04/00118602800429____3__40x40.jpg,El Corte Ingles,yes,517,others
0.85,2.58,cruzcampo gran reserva 1904 premium quality cerveza rubia 100% malta lata 33 cl ,No promotion,cruzcampo reserva,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201910/04/00118600301321____3__40x40.jpg,El Corte Ingles,no,518,others
0.45,1.36,cruz del sur cerveza rubia 100% andaluza lata 33 cl ,No promotion,cruz del sur,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201910/04/00118600301388____2__325x325.jpg,El Corte Ingles,no,519,others
1.2,1.2,cruz del sur cerveza rubia tipo lager botella 1 l ,No promotion,cruz del sur,botella,1 l,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201511/23/00118602202568____1__325x325.jpg,El Corte Ingles,no,520,others
6.74,2.25,estrella galicia cerveza rubia especial pack 12 botellas 25 cl ,No promotion,estrella galicia,botella,25 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202002/24/00118602201552____2__325x325.jpg,El Corte Ingles,no,521,others
6.75,2.05,estrella galicia cerveza rubia especial pack 10 latas 33 cl ,No promotion,estrella galicia,lata,33 cl,10,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201803/23/00118600300513____2__325x325.jpg,El Corte Ingles,no,522,others
16.56,2.09,estrella galicia cerveza rubia especial pack 24 latas 33 cl ,No promotion,estrella galicia,lata,33 cl,24,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201809/11/00118600301701____6__325x325.jpg,El Corte Ingles,no,523,others
3.54,2.36,estrella galicia cerveza rubia especial pack 6 botellas 25 cl ,No promotion,estrella galicia,botella,25 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202009/08/00118602200042____4__325x325.jpg,El Corte Ingles,no,524,others
6.49,2.7,estrella galicia mini cerveza rubia especial pack 12 botellas 20 cl ,No promotion,estrella galicia,botella,20 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201709/29/00118602202865____1__40x40.jpg,El Corte Ingles,no,525,others
0.71,2.15,estrella galicia cerveza rubia especial lata 33 cl ,No promotion,estrella galicia,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201902/12/00118600300034____2__40x40.jpg,El Corte Ingles,no,526,others
